in s,C1 in V,C2 in V
-5.95872E-02,8.84430E+00,1.55664E+01
-5.95860E-02,8.80523E+00,1.55664E+01
-5.95848E-02,8.76617E+00,1.54492E+01
-5.95836E-02,8.86383E+00,1.54883E+01
-5.95824E-02,8.80523E+00,1.54492E+01
-5.95812E-02,8.82477E+00,1.55664E+01
-5.95800E-02,8.78570E+00,1.55273E+01
-5.95788E-02,8.82477E+00,1.54883E+01
-5.95776E-02,8.74664E+00,1.55664E+01
-5.95764E-02,8.84430E+00,1.54883E+01
-5.95752E-02,8.76617E+00,1.55664E+01
-5.95740E-02,8.84430E+00,1.54492E+01
-5.95728E-02,8.88336E+00,1.54883E+01
-5.95716E-02,8.86383E+00,1.55273E+01
-5.95704E-02,8.82477E+00,1.55664E+01
-5.95692E-02,8.86383E+00,1.55664E+01
-5.95680E-02,8.86383E+00,1.55273E+01
-5.95668E-02,8.88336E+00,1.55664E+01
-5.95656E-02,8.82477E+00,1.55273E+01
-5.95644E-02,8.86383E+00,1.56055E+01
-5.95632E-02,8.78570E+00,1.54492E+01
-5.95620E-02,8.82477E+00,1.55664E+01
-5.95608E-02,8.80523E+00,1.55664E+01
-5.95596E-02,8.86383E+00,1.55664E+01
-5.95584E-02,8.78570E+00,1.54883E+01
-5.95572E-02,8.74664E+00,1.54492E+01
-5.95560E-02,8.80523E+00,1.56445E+01
-5.95548E-02,8.86383E+00,1.54102E+01
-5.95536E-02,8.84430E+00,1.53711E+01
-5.95524E-02,8.84430E+00,1.54492E+01
-5.95512E-02,8.86383E+00,1.55273E+01
-5.95500E-02,8.86383E+00,1.55273E+01
-5.95488E-02,8.80523E+00,1.54492E+01
-5.95476E-02,8.76617E+00,1.55664E+01
-5.95464E-02,8.86383E+00,1.55664E+01
-5.95452E-02,8.84430E+00,1.55664E+01
-5.95440E-02,8.80523E+00,1.56445E+01
-5.95428E-02,8.78570E+00,1.55273E+01
-5.95416E-02,8.82477E+00,1.56836E+01
-5.95404E-02,8.84430E+00,1.55273E+01
-5.95392E-02,8.76617E+00,1.55664E+01
