in s,C1 in V,C2 in V
-8.955180E-02,1.17349E+01,1.44727E+01
-8.955000E-02,1.18716E+01,1.45508E+01
-8.954820E-02,1.17935E+01,1.45508E+01
-8.954640E-02,1.17349E+01,1.45508E+01
-8.954460E-02,1.17740E+01,1.44336E+01
-8.954280E-02,1.17935E+01,1.45117E+01
-8.954100E-02,1.18130E+01,1.44336E+01
-8.953920E-02,1.18521E+01,1.44727E+01
-8.953740E-02,1.17935E+01,1.44336E+01
-8.953560E-02,1.17545E+01,1.45117E+01
-8.953380E-02,1.17349E+01,1.43945E+01
-8.953200E-02,1.18130E+01,1.44727E+01
-8.953020E-02,1.17349E+01,1.44727E+01
-8.952840E-02,1.18130E+01,1.43555E+01
-8.952660E-02,1.17349E+01,1.43945E+01
-8.952480E-02,1.17349E+01,1.44336E+01
-8.952300E-02,1.18521E+01,1.42773E+01
-8.952120E-02,1.18130E+01,1.44336E+01
-8.951940E-02,1.17545E+01,1.43164E+01
-8.951760E-02,1.17935E+01,1.43555E+01
-8.951580E-02,1.17740E+01,1.42383E+01
-8.951400E-02,1.17349E+01,1.43945E+01
-8.951220E-02,1.18130E+01,1.43164E+01
-8.951040E-02,1.16959E+01,1.43945E+01
-8.950860E-02,1.18130E+01,1.43164E+01
-8.950680E-02,1.17935E+01,1.43164E+01
-8.950500E-02,1.17349E+01,1.44336E+01
-8.950320E-02,1.18326E+01,1.43945E+01
-8.950140E-02,1.18521E+01,1.43555E+01
-8.949960E-02,1.18326E+01,1.42773E+01
-8.949780E-02,1.17935E+01,1.43945E+01
-8.949600E-02,1.18130E+01,1.43555E+01
-8.949420E-02,1.17935E+01,1.43555E+01
-8.949240E-02,1.18130E+01,1.44727E+01
-8.949060E-02,1.17935E+01,1.44336E+01
-8.948880E-02,1.18326E+01,1.42773E+01
-8.948700E-02,1.17545E+01,1.43555E+01
-8.948520E-02,1.18130E+01,1.43945E+01
-8.948340E-02,1.17935E+01,1.44336E+01
-8.948160E-02,1.18326E+01,1.43555E+01
-8.947980E-02,1.17935E+01,1.44336E+01
-8.947800E-02,1.17349E+01,1.43164E+01
-8.947620E-02,1.18716E+01,1.44336E+01
-8.947440E-02,1.17740E+01,1.44727E+01
-8.947260E-02,1.18130E+01,1.44727E+01
-8.947080E-02,1.17935E+01,1.43555E+01
-8.946900E-02,1.17935E+01,1.43164E+01
-8.946720E-02,1.18326E+01,1.43945E+01
-8.946540E-02,1.18326E+01,1.44336E+01
-8.946360E-02,1.18130E+01,1.44727E+01
-8.946180E-02,1.18521E+01,1.43945E+01
-8.946000E-02,1.17740E+01,1.42773E+01
-8.945820E-02,1.17740E+01,1.41602E+01
-8.945640E-02,1.18521E+01,1.43945E+01
-8.945460E-02,1.17935E+01,1.43945E+01
-8.945280E-02,1.17740E+01,1.43164E+01
-8.945100E-02,1.17740E+01,1.43164E+01
-8.944920E-02,1.17740E+01,1.43555E+01
-8.944740E-02,1.17935E+01,1.44727E+01
-8.944560E-02,1.17740E+01,1.43555E+01
-8.944380E-02,1.18521E+01,1.43555E+01
-8.944200E-02,1.18521E+01,1.42773E+01
-8.944020E-02,1.17935E+01,1.41992E+01
-8.943840E-02,1.17545E+01,1.42773E+01
-8.943660E-02,1.17545E+01,1.43555E+01
-8.943480E-02,1.18521E+01,1.43945E+01
-8.943300E-02,1.18521E+01,1.42773E+01
-8.943120E-02,1.17935E+01,1.42773E+01
-8.942940E-02,1.17349E+01,1.42383E+01
-8.942760E-02,1.18130E+01,1.43555E+01
-8.942580E-02,1.18326E+01,1.42773E+01
-8.942400E-02,1.18716E+01,1.41992E+01
-8.942220E-02,1.18716E+01,1.41992E+01
-8.942040E-02,1.18130E+01,1.42383E+01
-8.941860E-02,1.18130E+01,1.43555E+01
-8.941680E-02,1.17935E+01,1.41602E+01
-8.941500E-02,1.18716E+01,1.43555E+01
-8.941320E-02,1.18912E+01,1.43555E+01
-8.941140E-02,1.18130E+01,1.43555E+01
-8.940960E-02,1.17935E+01,1.42773E+01
-8.940780E-02,1.17545E+01,1.43164E+01
-8.940600E-02,1.18326E+01,1.43164E+01
-8.940420E-02,1.17935E+01,1.41992E+01
-8.940240E-02,1.17740E+01,1.41992E+01
-8.940060E-02,1.17740E+01,1.41992E+01
-8.939880E-02,1.17740E+01,1.40820E+01
-8.939700E-02,1.17935E+01,1.41992E+01
-8.939520E-02,1.19302E+01,1.42383E+01
-8.939340E-02,1.17935E+01,1.42383E+01
-8.939160E-02,1.17349E+01,1.43555E+01
-8.938980E-02,1.18326E+01,1.43164E+01
-8.938800E-02,1.17935E+01,1.42383E+01
-8.938620E-02,1.18716E+01,1.41992E+01
-8.938440E-02,1.18521E+01,1.42773E+01
-8.938260E-02,1.17935E+01,1.42383E+01
-8.938080E-02,1.17935E+01,1.42383E+01
-8.937900E-02,1.18326E+01,1.42773E+01
-8.937720E-02,1.18716E+01,1.42383E+01
-8.937540E-02,1.18521E+01,1.41211E+01
-8.937360E-02,1.19107E+01,1.42383E+01
-8.937180E-02,1.18521E+01,1.42383E+01
-8.937000E-02,1.18130E+01,1.42383E+01
-8.936820E-02,1.17935E+01,1.43555E+01
-8.936640E-02,1.18716E+01,1.43555E+01
-8.936460E-02,1.18326E+01,1.41992E+01
-8.936280E-02,1.18326E+01,1.43555E+01
-8.936100E-02,1.18326E+01,1.42383E+01
-8.935920E-02,1.18521E+01,1.44336E+01
-8.935740E-02,1.18326E+01,1.44336E+01
-8.935560E-02,1.19107E+01,1.45117E+01
-8.935380E-02,1.18130E+01,1.44336E+01
-8.935200E-02,1.18130E+01,1.44727E+01
-8.935020E-02,1.18716E+01,1.44336E+01
-8.934840E-02,1.18130E+01,1.42383E+01
-8.934660E-02,1.19693E+01,1.42773E+01
-8.934480E-02,1.18716E+01,1.42773E+01
-8.934300E-02,1.18326E+01,1.42773E+01
-8.934120E-02,1.19107E+01,1.42773E+01
-8.933940E-02,1.19107E+01,1.43945E+01
-8.933760E-02,1.18326E+01,1.43164E+01
-8.933580E-02,1.18326E+01,1.41602E+01
-8.933400E-02,1.18326E+01,1.41602E+01
-8.933220E-02,1.17935E+01,1.42773E+01
-8.933040E-02,1.18521E+01,1.40820E+01
-8.932860E-02,1.18326E+01,1.42773E+01
-8.932680E-02,1.18326E+01,1.42773E+01
-8.932500E-02,1.19498E+01,1.43164E+01
-8.932320E-02,1.18716E+01,1.43945E+01
-8.932140E-02,1.18521E+01,1.41992E+01
-8.931960E-02,1.18716E+01,1.44336E+01
-8.931780E-02,1.18521E+01,1.44336E+01
-8.931600E-02,1.17935E+01,1.42383E+01
-8.931420E-02,1.19107E+01,1.43555E+01
-8.931240E-02,1.18326E+01,1.42383E+01
-8.931060E-02,1.19498E+01,1.43945E+01
-8.930880E-02,1.18716E+01,1.43164E+01
-8.930700E-02,1.18716E+01,1.43164E+01
-8.930520E-02,1.18912E+01,1.42383E+01
-8.930340E-02,1.18130E+01,1.41992E+01
-8.930160E-02,1.18716E+01,1.42383E+01
-8.929980E-02,1.18716E+01,1.41992E+01
-8.929800E-02,1.18521E+01,1.42773E+01
-8.929620E-02,1.18130E+01,1.41211E+01
-8.929440E-02,1.19107E+01,1.42383E+01
-8.929260E-02,1.19107E+01,1.41992E+01
-8.929080E-02,1.18130E+01,1.42383E+01
